Category,SubCategory,Product Name
Grocery,Dals,Premia Chana Dal : 1 Kgs
Grocery,Dals,Tata Sampann Chana Dal : 500 gms
Grocery,Dals,DMart Healthy Choice Unpolished Chana Dal : 1 kg
Grocery,Dals,Tata Sampann 100% Organic Unpolished Chana Dal : 1 kg
Grocery,Dals,Satyam Chana Dal : 500 gms
Grocery,Dals,Premia Moong Dal : 1 Kg
Grocery,Dals,Tata Sampann Moong Dal : 1 kg
Grocery,Dals,Premia Moong Dal Chilti : 1 Kg
Grocery,Dals,Tata Sampann Moong Chilka : 500 gms
Grocery,Dals,DMart Healthy Choice Unpolished Moong Dal : 1 kg
Grocery,Dals,Satyam Moong Dal : 500 gms
Grocery,Dals,Organic Tattva Moong Dal Yellow Split : 1 kg
Grocery,Dals,Tata Sampann 100% Organic Unpolished Moong Dal : 1 kg
Grocery,Dals,Satyam Moong Chilti : 500 gms
Grocery,Dals,Organic Tattva Moong Dal Whole : 500 gms
Grocery,Dals,Tata Sampann Toor Dal : 1 kg
Grocery,Dals,Premia Tur Dal Latur : 1 kg
Grocery,Dals,Tata Sampann 100% Organic Unpolished Toor Dal : 1 kg
Grocery,Dals,Organic Tattva Arhar Tur Dal : 1 kg
Grocery,Dals,DMart Healthy Choice Unpolished Toor Dal : 1 kg
Grocery,Dals,Premia Tur Dal Premium Gujarat : 1 Kg
Grocery,Dals,Satyam Tur (Toor) Dal : 500 gm
Grocery,Dals,Satyam Toor Dal Oily : 500 gms
Grocery,Dals,Toor Dal Plain : 5 kgs
Grocery,Dals,Premia Udid (Urad) Dal : 1 kg
Grocery,Dals,Tata Sampann Urad Dal : 1 kg
Grocery,Dals,Premia Udid (Urad) Dal Chilti : 500 gms
Grocery,Dals,Premia Urad Dal Premium : 500 gms
Grocery,Dals,Satyam Udid (Urad) Dal : 500 gms
Grocery,Dals,Organic Tattva Urad Dal Whole White : 500 gms
Grocery,Dals,Organic Tattva Urad Dal White Split : 500 gms
Grocery,Dals,Tata Sampann Organic Unpolished Urad Dal : 500 gms
Grocery,Dals,Premia Masoor Dal : 1 kg
Grocery,Dals,Tata Sampann Masoor Dal : 1 kg
Grocery,Dals,Satyam Masur Dal : 500 gms
Grocery,Dals,Tata Sampan 100% Organic Unpolished Masoor Dal : 500 gms
Grocery,Dals,Premia Daliya: 500 gm
Grocery,Dals,Satyam Dalia : 200 gms
Grocery,Dals,Premia Mix Dal : 1 kg
Grocery,Pulses,Premia Rajma Kashmiri : 500 gms
Grocery,Pulses,Premia Rajma Red Small : 500 gms
Grocery,Pulses,Premia Rajma White : 500 gms
Grocery,Pulses,Satyam Rajma Pink : 500 gms
Grocery,Pulses,Satyam Rajma Sharmili : 500 gms
Grocery,Pulses,Tata Sampann Organic Unpolished Rajma Red : 500 gms
Grocery,Pulses,Premia Chowli Premium : 500 gms
Grocery,Pulses,Premia Chowli Small : 500 gms
Grocery,Pulses,Premia Chowli Red : 500 gms
Grocery,Pulses,Satyam Chowla : 500 gms
Grocery,Pulses,Premia Soyawadi : 200 gms
Grocery,Pulses,Nutrela Soya Mini Chunks : 200 gms
Grocery,Pulses,Premia Mini Soya Chunks : 200 gms
Grocery,Pulses,Nutrela Soya Chunks : 200 gms
Grocery,Pulses,Premia Soyabean : 500 gms
Grocery,Pulses,Nutrela Soya Granules : 200 gms
Grocery,Pulses,Premia Desi Kabuli Chana : 1 kg
Grocery,Pulses,Satyam Kabuli Chana : 500 gms
Grocery,Pulses,Organic Tattva Kabuli Chana : 500 gms
Grocery,Pulses,Tata Sampann Organic Unpolished Kabuli Chana : 500 gms
Grocery,Pulses,Premia Chana Big : 500 gms
Grocery,Pulses,Premia Chana Small : 1 kg
Grocery,Pulses,Premia Chana Green : 500 gms
Grocery,Pulses,Satyam Chana Small : 500 gms
Grocery,Pulses,Tata Sampann Organic Unpolished (Kala) Chana : 500 gms
Grocery,Pulses,Organic Tattva Kala Chana : 500 gms
Grocery,Pulses,Satyam Chana Mosambi : 500 gms
Grocery,Pulses,Satyam Chana Green : 500 gms
Grocery,Pulses,Premia Udid : 500 gms
