Category,Product Name
American,Crispy Veg Burger+Fries(M)
American,Crispy Veg Double Patty Burger+Fries(M)
American,Crispy Chicken Double Patty Burger+Fries(M)
American,Classic Family Feast for 4 - Veg
American,Premium Family Feast for 4 - Chicken
American,Veg Whopper
American,Chicken Whopper
American,Crispy Veg Burger
American,Crispy Veg Double Patty Burger
American,Crispy Chicken Burger
American,Crispy Chicken Double Patty Burger
American,Hot 'N' Saucy Burger
American,Fiery Chicken Burger
American,Crispy Veg Double Patty + Crispy Veg Double Patty
American,Veg Makhani Burst + Whopper Jr Veg
American,4 Crispy Veg + 2 Medium Fries
American,Medium Fries
American,King Fries
American,King Peri Peri Fries
American,Chocolate Thick Shake
American,Crispy Veg Burger + Fries (Reg) + Coca Cola
American,Crispy Chicken Burger + Fries (Reg) + Coca Cola
American,11Pc Boneless Wings
American,2 Crispy Chicken Burger + 4Pc Fried Wings + 2 Coca Cola
American,2Pc Fried Wings+4Pc Boneless+4Pc Nuggets+3 Dips+1 Coca Cola
American,Fiery Chicken Wrap+Fries(Reg)
American,Paneer Royale Wrap+Fries(Reg)
American,Hot 'N' Saucy Burger+Fries(Reg)
American,Fiery Chicken Burger+Fries(Reg)
American,Paneer Royale Burger+Fries(Reg)
American,Chicken Tandoori+Fries(Reg)
American,Whopper Jr Chicken+Fries(Reg)
American,BK Chicken Burger+Fries(Reg)
American,Whopper Jr Veg+Fries(Reg)
American,Veg Whopper+Fries(Reg)
American,Chicken Whopper+Fries(Reg)
American,BK Veggie Burger+Fries(Reg)
American,Crispy Chicken Double Patty Burger+Fries(Reg)
American,Crunchy Chicken Taco+Fries(Reg)
American,Chicken Makhani Burst Burger+Fries(Reg)
American,Crispy Veg Double Patty Burger+Fries(Reg)
American,Crispy Chicken Burger+Fries(Reg)
American,Veg Crunchy Taco+Fries(Reg)
American,Veg Makhani Burst Burger+Fries(Reg)
American,Crispy Veg Burger+Fries(Reg)
American,Crispy Veg Burger+Fries(M)
American,Veg Crunchy Taco+Fries(M)
American,Crispy Chicken Burger+Fries(M)
American,Crispy Veg Double Patty Burger+Fries(M)
American,Crunchy Chicken Taco+Fries(M)
American,BK Veggie Burger+Fries(M)
American,Crispy Chicken Double Patty Burger+Fries(M)
American,BK Chicken Burger+Fries(M)
American,Whopper Jr Veg+Fries(M)
American,Veg Whopper+Fries(M)
American,Paneer Royale Wrap+Fries(M)
American,Chicken Whopper+Fries(M)
American,Classic Family Feast for 4 - Veg
American,Premium Family Feast for 4 - Veg
American,Premium Family Feast for 4 - Chicken
American,Classic Family Feast for 4 - Chicken
American,2 Chicken Tandoori Burger + 1 Med Fries
American,Whopper Duo - Veg
American,2 Fiery Chicken Burger + 1 Med Fries
American,Whopper Duo - Non Veg
American,Paneer Royale Burger + Hot 'N' Saucy Burger + 1 Med Fries
American,Hot 'N' Saucy Duo - Veg
American,2 Hot 'N' Saucy Burger + 1 Med Fries
American,Fiery Duo - Non Veg
American,Binging Duo - Veg
American,Binging Duo - Non  Veg
American,Indulgent Duo - Veg
American,Indulgent Duo - Non Veg
American,2 Paneer Royale Burger + 1 Med Fries
American,Jr Whopper Stacker- Veg
American,Jr Whopper Stacker – Chicken
American,Veg Whopper Stacker
American,Chicken Whopper Stacker
American,Veg Whopper
American,Veg Whopper with Cheese Slice
American,Chicken Whopper
American,Chicken Whopper with Cheese Slice
American,Veg Whopper Double Patty
American,Chicken Whopper Double Patty
American,Mutton Whopper
American,Mutton Whopper Double Patty
American,Paneer Royale Wrap
American,Crispy Veg Burger
American,Chicken Makhani Burst Burger
American,Fiery Chicken Wrap
American,Veg Crunchy Taco
American,Veg Makhani Burst Burger
American,Crispy Veg Double Patty Burger
American,Crispy Chicken Burger
American,Crispy Veg with Cheese Slice
American,Crunchy Chicken Taco
American,Crispy Chicken with Cheese Slice
American,Crispy Veg Double Patty with Cheese Slice
American,Crispy Chicken Double Patty Burger
American,BK Veggie Burger
American,BK Veggie Double Patty Burger
American,BK Chicken Burger
American,Whopper Jr Chicken
American,Crispy Chicken Double Patty with Cheese Slice
American,Whopper Jr Veg
American,BK Chicken Double Patty Burger
American,Hot 'N' Saucy Burger
American,Paneer Royale Burger
American,Fiery Chicken Burger
American,Chicken Tandoori Burger
American,2 Crispy Veg
American,Crispy Veg Double Patty + Crispy Veg Double Patty
American,Veg Makhani Burst + Whopper Jr Veg
American,BK Veggie Burger + BK Veggie Burger
American,Crispy Chicken Double Patty + Crispy Chicken Double Patty
American,Chicken Makhani Burst + Whopper Jr Chicken
American,BK Chicken Burger + BK Chicken Burger
American,Veg Whopper + Veg Whopper
American,Chicken Whopper + Chicken Whopper
American,4 Crispy Veg + 2 Medium Fries
American,6 Crispy Veg
American,6 Crispy Chicken
American,4 Crispy Chicken + 2 Medium Fries
American,Veggie Strips(5Pcs) + 1 Dip
American,2 Classic Cold Coffee @139 each
American,Boneless Chicken Wings(4pcs)+1Fiery Hell Dip
American,Boneless Chicken Wings(7Pcs)+1Fiery Hell Dip
American,Hot 'N' Saucy Bite
American,Fire Me Up
American,1 Crispy Veg Double Patty+1 Classic Cold Coffee
American,1 Crispy Chicken+1 Classic Cold Coffee
American,1 Jr Veg Whopper +1 Chocolate Thick Shake
American,1 Jr Chicken Whopper+1 Chocolate Thick Shake
American,Fiery Twins
American,Hot 'N' Saucy Twins
American,2 Crispy Veg Double Patty + 1King Fries + 1Veggie strips
American,2Crispy Chicken+1King Fries+1Cold Coffee+1Coca Cola Medium
American,Crispy Veg + Med Fries + Chocolate Thick Shake
American,Crispy Chicken + Med Fries + Chocolate Thick Shake
American,BK Veggie + Med Fries + Chocolate Thick Shake
American,BK Chicken + Med Fries + Chocolate Thick Shake
American,Veg Whopper + Med Fries + Chocolate Thick Shake
American,Chicken Whopper + Med Fries + Chocolate Thick Shake
American,Paneer Royale + Med Fries + Chocolate Thick Shake
American,Fiery Chicken + Med Fries + Chocolate Thick Shake
American,Iced Americano
American,Masala Chai
American,Americano (Small)
American,Café Latte (Small)
American,Cappuccino (Small)
American,Hot Chocolate
American,Americano (Regular)
American,Cappuccino (Regular)
American,Mocha Cappuccino (Small)
American,Café Latte (Regular)
American,Classic Cold Coffee
American,Mocha Cappuccino (Regular)
American,Mocha Frappe
American,Vanilla Chocolate Muffin
American,Choco Chip Muffin
American,Crispy Veg Combo
American,Crispy Chicken Combo
American,BK Veggie Burger Combo
American,BK Chicken Burger Combo
American,Whopper Jr Veg Combo
American,Whopper Jr Chicken Combo
American,Veg Whopper Combo
American,Chicken Whopper Combo
American,Hot 'N' Saucy Burger Combo
American,Fiery Chicken Burger Combo
American,Paneer Royale Burger Combo
American,Chicken Tandoori Burger Combo
American,Mutton Whopper - Combo
American,Fiery Hell Dip
American,(4Pc) Crunchy Chicken Nuggets
American,BK Pizza Puff
American,(6Pc) Crunchy Chicken Nuggets + 1 Dip
American,(9Pc) Crunchy Chicken Nuggets + 2 Dips
American,Hashbrown
American,Peri Peri Spice Mix
American,(18Pcs) Crunchy Chicken Nuggets + 3 Dips
American,Veggie Strips(5 Pcs)
American,Medium Fries
American,King Fries
American,Medium Peri Peri Fries
American,King Peri Peri Fries
American,Saucy Fries
American,Peri Peri Fries
American,Coca Cola Medium
American,Fanta Medium
American,Sprite Medium
American,Chocolate Thick Shake
American,Mango Thick Shake
American,Berry Blast Thick Shake
American,Choco Lava Cup
American,Chocolate Mousse Cup
American,Chicken Wings Fried - Two Pieces
American,Chicken Wings Grilled - Two Pieces
American,Boneless Wings Regular
American,Chicken Wings Grilled - Four Pieces
American,Chicken Wings Fried - Four Pieces
American,Boneless Wings Large
American,Chicken Wings Grilled - Ten Pieces
American,Chicken Wings - Five Pcs Fried + Five Pcs Grilled
American,Chicken Wings Fried - Ten Pieces
American,Chicken Wings Fried - Fifteen Pieces
